t (yr),P1_x (AU),P1_y (AU),P2_x (AU),P2_y (AU),P3_x (AU),P3_y (AU),P4_x (AU),P4_y (AU),P5_x (AU),P5_y (AU)
1.03,-0.45034,-0.14562,1.46182,-0.50719,-1.71421,1.56138,-0.68378,0.86622,3.57396,0.12692
1.04,-0.44721,-0.22036,1.62386,-0.49103,-1.73024,1.52110,-0.69670,0.84687,3.53198,0.12639
1.05,-0.44359,-0.29440,1.78492,-0.47283,-1.74536,1.48060,-0.71034,0.82775,3.49232,0.12583
1.06,-0.43950,-0.36767,1.94491,-0.45265,-1.75956,1.44000,-0.72477,0.80888,3.45504,0.12523
1.07,-0.43493,-0.44010,2.10373,-0.43058,-1.77284,1.39937,-0.74005,0.79031,3.42016,0.12459
1.08,-0.42989,-0.51163,2.26127,-0.40668,-1.78520,1.35882,-0.75626,0.77207,3.38770,0.12392
1.09,-0.42439,-0.58220,2.41743,-0.38104,-1.79664,1.31846,-0.77346,0.75420,3.35769,0.12321
1.10,-0.41843,-0.65175,2.57211,-0.35375,-1.80716,1.27837,-0.79172,0.73673,3.33013,0.12247
1.11,-0.41203,-0.72023,2.72521,-0.32490,-1.81677,1.23868,-0.81112,0.71970,3.30504,0.12170
1.12,-0.40519,-0.78759,2.87664,-0.29457,-1.82547,1.19946,-0.83173,0.70314,3.28240,0.12089
1.13,-0.39794,-0.85378,3.02631,-0.26286,-1.83327,1.16084,-0.85363,0.68710,3.26222,0.12006
1.14,-0.39027,-0.91876,3.17413,-0.22986,-1.84017,1.12290,-0.87687,0.67162,3.24450,0.11920
1.15,-0.38221,-0.98248,3.32001,-0.19566,-1.84619,1.08575,-0.90153,0.65672,3.22923,0.11831
1.16,-0.37377,-1.04490,3.46387,-0.16035,-1.85133,1.04948,-0.92768,0.64245,3.21642,0.11740
1.17,-0.36496,-1.10600,3.60563,-0.12403,-1.85562,1.01419,-0.95537,0.62884,3.20606,0.11646
1.18,-0.35581,-1.16572,3.74523,-0.08678,-1.85906,0.98000,-0.98468,0.61591,3.19815,0.11549
1.19,-0.34633,-1.22405,3.88258,-0.04870,-1.86168,0.94700,-1.01569,0.60370,3.19268,0.11451
1.20,-0.33653,-1.28094,4.01760,-0.00989,-1.86350,0.91529,-1.04847,0.59223,3.18963,0.11349
1.21,-0.32644,-1.33635,4.15024,0.02967,-1.86455,0.88497,-1.08311,0.58152,3.18901,0.11246
1.22,-0.31608,-1.39023,4.28043,0.06990,-1.86485,0.85614,-1.11969,0.57161,3.19080,0.11140
1.23,-0.30546,-1.44256,4.40810,0.11075,-1.86443,0.82889,-1.15832,0.56250,3.19500,0.11033
1.24,-0.29461,-1.49330,4.53320,0.15217,-1.86333,0.80332,-1.19910,0.55424,3.20159,0.10924
1.25,-0.28354,-1.54242,4.65564,0.19412,-1.86157,0.77953,-1.24213,0.54685,3.21056,0.10813
1.26,-0.27226,-1.58988,4.77537,0.23653,-1.85918,0.75760,-1.28751,0.54035,3.22188,0.10701
1.27,-0.26080,-1.63564,4.89230,0.27938,-1.85619,0.73764,-1.33535,0.53479,3.23555,0.10587
1.28,-0.24917,-1.67966,5.00639,0.32262,-1.85265,0.71971,-1.38576,0.53020,3.25152,0.10472
1.29,-0.23739,-1.72191,5.11756,0.36622,-1.84858,0.70390,-1.43885,0.52661,3.26978,0.10355
1.30,-0.22549,-1.76236,5.22576,0.41014,-1.84400,0.69026,-1.49474,0.52405,3.29030,0.10237
1.31,-0.21348,-1.80097,5.33090,0.45432,-1.83897,0.67885,-1.55353,0.52255,3.31304,0.10117
1.32,-0.20138,-1.83770,5.43290,0.49873,-1.83350,0.66973,-1.61536,0.52216,3.33798,0.09996
1.33,-0.18920,-1.87253,5.53169,0.54331,-1.82762,0.66295,-1.68032,0.52293,3.36507,0.09874
1.34,-0.17696,-1.90541,5.62720,0.58800,-1.82136,0.65857,-1.74853,0.52490,3.39427,0.09750
1.35,-0.16467,-1.93631,5.71936,0.63274,-1.81473,0.65664,-1.82010,0.52814,3.42555,0.09625
1.36,-0.15234,-1.96519,5.80811,0.67749,-1.80777,0.65721,-1.89512,0.53270,3.45887,0.09499
1.37,-0.13998,-1.99201,5.89337,0.72219,-1.80050,0.66033,-1.97371,0.53864,3.49421,0.09371
1.38,-0.12760,-2.01676,5.97508,0.76677,-1.79294,0.66606,-2.05597,0.54602,3.53154,0.09242
1.39,-0.11522,-2.03940,6.05318,0.81119,-1.78512,0.67445,-2.14199,0.55490,3.57082,0.09112
1.40,-0.10283,-2.05990,6.12760,0.85539,-1.77705,0.68555,-2.23188,0.56534,3.61202,0.08980
1.41,-0.09045,-2.07824,6.19828,0.89932,-1.76878,0.69941,-2.32573,0.57739,3.65509,0.08848
1.42,-0.07807,-2.09440,6.26516,0.94292,-1.76032,0.71607,-2.42363,0.59110,3.69999,0.08714
1.43,-0.06570,-2.10836,6.32818,0.98613,-1.75171,0.73559,-2.52569,0.60653,3.74669,0.08580
1.44,-0.05333,-2.12010,6.38728,1.02889,-1.74296,0.75799,-2.63200,0.62374,3.79515,0.08445
1.45,-0.04097,-2.12960,6.45638,1.07409,-1.73413,0.78330,-2.74266,0.64278,3.84534,0.08309
1.46,-0.02863,-2.13684,6.49514,1.11707,-1.72524,0.81156,-2.85779,0.66370,3.89722,0.08172
1.47,-0.01630,-2.14181,6.54924,1.15949,-1.71633,0.84279,-2.97747,0.68656,3.95076,0.08035
1.48,-0.00399,-2.14449,6.59976,1.20130,-1.70741,0.87700,-3.10182,0.71141,4.00591,0.07897
1.49,0.00829,-2.14488,6.64661,1.24244,-1.69850,0.91420,-3.23094,0.73831,4.06263,0.07758
1.50,0.02055,-2.14297,6.68972,1.28286,-1.68962,0.95440,-3.36493,0.76732,4.12089,0.07618
1.51,0.03279,-2.13876,6.72905,1.32252,-1.68079,0.99760,-3.50390,0.79851,4.18063,0.07478
